Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Madhya Pradesh,2004,Burglary - Property,3. Burglary,3943,12130,33345035,145505628,20
Maharashtra,2004,Burglary - Property,3. Burglary,3952,13896,141098005,544644465,21
Manipur,2004,Burglary - Property,3. Burglary,6,66,851177,2760756,22
Meghalaya,2004,Burglary - Property,3. Burglary,19,130,245154,1991361,23
Mizoram,2004,Burglary - Property,3. Burglary,180,250,575000,758220,24
Nagaland,2004,Burglary - Property,3. Burglary,13,52,140245,1246138,25
Odisha,2004,Burglary - Property,3. Burglary,1127,2990,13227198,52807227,26
Puducherry,2004,Burglary - Property,3. Burglary,48,86,1419510,2828010,27
Punjab,2004,Burglary - Property,3. Burglary,666,1766,16682669,91624075,28
Rajasthan,2004,Burglary - Property,3. Burglary,1588,5619,39415095,108989033,29
Sikkim,2004,Burglary - Property,3. Burglary,12,64,397673,1054933,30
Tamil Nadu,2004,Burglary - Property,3. Burglary,2679,4147,76752113,124839785,31
Tripura,2004,Burglary - Property,3. Burglary,36,166,1348165,4918835,32
Uttar Pradesh,2004,Burglary - Property,3. Burglary,972,4192,99202552,173330606,33
Uttarakhand,2004,Burglary - Property,3. Burglary,100,516,3700267,14665091,34
West Bengal,2004,Burglary - Property,3. Burglary,129,547,3076728,12198178,35
Andaman & Nicobar Islands,2005,Burglary - Property,3. Burglary,25,68,705419,3418391,1
Andhra Pradesh,2005,Burglary - Property,3. Burglary,3578,7894,92930221,240127856,2
Arunachal Pradesh,2005,Burglary - Property,3. Burglary,56,263,1185696,7275247,3
Assam,2005,Burglary - Property,3. Burglary,523,2255,7068609,29458429,4
Bihar,2005,Burglary - Property,3. Burglary,311,3117,3584517,34869204,5
Chandigarh,2005,Burglary - Property,3. Burglary,105,223,2806616,7108230,6
Chhattisgarh,2005,Burglary - Property,3. Burglary,1186,3621,11063089,51741764,7
Dadra & Nagar Haveli,2005,Burglary - Property,3. Burglary,9,25,5162150,6257250,8
Daman & Diu,2005,Burglary - Property,3. Burglary,5,37,365000,2514680,9
Delhi,2005,Burglary - Property,3. Burglary,871,2093,8172281,198019747,10
Goa,2005,Burglary - Property,3. Burglary,71,257,1909368,13803082,11
Gujarat,2005,Burglary - Property,3. Burglary,1188,5140,67616775,254373304,12
Haryana,2005,Burglary - Property,3. Burglary,1527,3425,42714747,81885034,13
Himachal Pradesh,2005,Burglary - Property,3. Burglary,136,691,4125018,22867849,14
Jammu & Kashmir,2005,Burglary - Property,3. Burglary,209,1397,4920818,36077553,15
Jharkhand,2005,Burglary - Property,3. Burglary,259,1600,2045450,39496852,16
Karnataka,2005,Burglary - Property,3. Burglary,1688,5986,59175016,261321837,17
Kerala,2005,Burglary - Property,3. Burglary,939,3914,18941597,187698662,18
Lakshadweep,2005,Burglary - Property,3. Burglary,1,2,8410,20410,19
Madhya Pradesh,2005,Burglary - Property,3. Burglary,3607,11192,43951572,154604344,20
Maharashtra,2005,Burglary - Property,3. Burglary,4058,14735,99149466,619891309,21
Manipur,2005,Burglary - Property,3. Burglary,3,62,95970,3075030,22
Meghalaya,2005,Burglary - Property,3. Burglary,19,137,186546,1263497,23
Mizoram,2005,Burglary - Property,3. Burglary,289,442,9467342,14738682,24
Nagaland,2005,Burglary - Property,3. Burglary,17,93,545015,1278742,25
Odisha,2005,Burglary - Property,3. Burglary,1308,3029,14704375,61917823,26
Puducherry,2005,Burglary - Property,3. Burglary,42,67,1183747,2103597,27
Punjab,2005,Burglary - Property,3. Burglary,922,1933,38668978,98977795,28
Rajasthan,2005,Burglary - Property,3. Burglary,1657,5003,46405671,116980671,29
Sikkim,2005,Burglary - Property,3. Burglary,13,79,150690,1518042,30
Tamil Nadu,2005,Burglary - Property,3. Burglary,2568,3738,54017794,94231495,31
Tripura,2005,Burglary - Property,3. Burglary,31,170,1295865,4725332,32
Uttar Pradesh,2005,Burglary - Property,3. Burglary,853,3496,87349812,166454751,33
Uttarakhand,2005,Burglary - Property,3. Burglary,99,489,1348660,12112071,34
West Bengal,2005,Burglary - Property,3. Burglary,137,739,3379931,19919581,35
Andaman & Nicobar Islands,2006,Burglary - Property,3. Burglary,25,82,888107,2605702,1
Andhra Pradesh,2006,Burglary - Property,3. Burglary,3450,8169,142717661,310621897,2
Arunachal Pradesh,2006,Burglary - Property,3. Burglary,87,257,2558587,12667956,3
Assam,2006,Burglary - Property,3. Burglary,557,2911,9818045,35783913,4
Bihar,2006,Burglary - Property,3. Burglary,362,3531,3180927,36841471,5
Chandigarh,2006,Burglary - Property,3. Burglary,98,189,2923970,6810631,6
Chhattisgarh,2006,Burglary - Property,3. Burglary,1070,3507,8717499,74386571,7
Dadra & Nagar Haveli,2006,Burglary - Property,3. Burglary,12,41,971220,3752927,8
Daman & Diu,2006,Burglary - Property,3. Burglary,8,60,1405190,6367320,9
Delhi,2006,Burglary - Property,3. Burglary,893,1950,14994976,114401072,10
Goa,2006,Burglary - Property,3. Burglary,48,230,3338956,18460149,11
Gujarat,2006,Burglary - Property,3. Burglary,1405,5363,32600847,299427287,12
Haryana,2006,Burglary - Property,3. Burglary,1760,3996,41950479,107827743,13
Himachal Pradesh,2006,Burglary - Property,3. Burglary,136,732,6597727,31873315,14
Jammu & Kashmir,2006,Burglary - Property,3. Burglary,189,1351,3765294,32683515,15
Jharkhand,2006,Burglary - Property,3. Burglary,234,1428,2129927,21269610,16
Karnataka,2006,Burglary - Property,3. Burglary,1775,5967,63562444,234363867,17
Kerala,2006,Burglary - Property,3. Burglary,846,3948,26865098,237675908,18
Lakshadweep,2006,Burglary - Property,3. Burglary,1,2,10000,28200,19
Madhya Pradesh,2006,Burglary - Property,3. Burglary,3140,10729,35645450,175701398,20
Maharashtra,2006,Burglary - Property,3. Burglary,4012,14723,99357595,688724735,21
Manipur,2006,Burglary - Property,3. Burglary,0,55,0,3800658,22
Meghalaya,2006,Burglary - Property,3. Burglary,27,140,290370,3771145,23
Mizoram,2006,Burglary - Property,3. Burglary,269,408,3274525,15662205,24
Nagaland,2006,Burglary - Property,3. Burglary,25,68,958091,42221157,25
Odisha,2006,Burglary - Property,3. Burglary,1425,3118,17798514,84174508,26
Puducherry,2006,Burglary - Property,3. Burglary,46,84,1104955,2477094,27
Punjab,2006,Burglary - Property,3. Burglary,955,2277,25846606,115272477,28
Rajasthan,2006,Burglary - Property,3. Burglary,1678,4879,51924184,136663767,29
Sikkim,2006,Burglary - Property,3. Burglary,13,84,100500,2703436,30
Tamil Nadu,2006,Burglary - Property,3. Burglary,2291,3300,79307801,125033409,31
Tripura,2006,Burglary - Property,3. Burglary,115,182,2210714,4891139,32
Uttar Pradesh,2006,Burglary - Property,3. Burglary,880,3545,119979317,231897742,33
Uttarakhand,2006,Burglary - Property,3. Burglary,114,410,4488841,14234550,34
West Bengal,2006,Burglary - Property,3. Burglary,138,601,3981448,13223258,35
Andaman & Nicobar Islands,2007,Burglary - Property,3. Burglary,21,90,715116,3173066,1
Andhra Pradesh,2007,Burglary - Property,3. Burglary,3827,7609,85999945,265927102,2
Arunachal Pradesh,2007,Burglary - Property,3. Burglary,90,240,4211030,11311656,3
Assam,2007,Burglary - Property,3. Burglary,491,2603,5730761,36285212,4
Bihar,2007,Burglary - Property,3. Burglary,294,3259,3910175,56610107,5
Chandigarh,2007,Burglary - Property,3. Burglary,63,191,2197700,8182250,6
Chhattisgarh,2007,Burglary - Property,3. Burglary,1164,3632,11248886,52170119,7
Dadra & Nagar Haveli,2007,Burglary - Property,3. Burglary,6,28,684570,5444419,8
Daman & Diu,2007,Burglary - Property,3. Burglary,4,46,1918200,10058460,9
Delhi,2007,Burglary - Property,3. Burglary,981,2055,8374449,142856412,10
Goa,2007,Burglary - Property,3. Burglary,49,271,1468865,26963400,11
Gujarat,2007,Burglary - Property,3. Burglary,1230,4747,44679310,240405506,12
Haryana,2007,Burglary - Property,3. Burglary,1762,4231,48001068,150481239,13
Himachal Pradesh,2007,Burglary - Property,3. Burglary,144,831,4843695,35526149,14
Jammu & Kashmir,2007,Burglary - Property,3. Burglary,295,1458,9884179,43615181,15
Jharkhand,2007,Burglary - Property,3. Burglary,194,1489,2212553,23190276,16
Karnataka,2007,Burglary - Property,3. Burglary,1985,5449,75589467,266947170,17
Kerala,2007,Burglary - Property,3. Burglary,1035,3824,19975794,326981272,18
Lakshadweep,2007,Burglary - Property,3. Burglary,0,2,0,21500,19
Madhya Pradesh,2007,Burglary - Property,3. Burglary,3445,11230,37539294,199867229,20
Maharashtra,2007,Burglary - Property,3. Burglary,4120,14771,231671814,1034246567,21
Manipur,2007,Burglary - Property,3. Burglary,1,70,12000,4379199,22
Meghalaya,2007,Burglary - Property,3. Burglary,121,203,878586,6501195,23
Mizoram,2007,Burglary - Property,3. Burglary,279,424,9553498,18614005,24
Nagaland,2007,Burglary - Property,3. Burglary,12,118,175860,3649018,25
Odisha,2007,Burglary - Property,3. Burglary,1342,3073,12767910,93810550,26
Puducherry,2007,Burglary - Property,3. Burglary,36,86,970520,6656261,27
Punjab,2007,Burglary - Property,3. Burglary,1032,2616,31338421,167088865,28
Rajasthan,2007,Burglary - Property,3. Burglary,1634,4951,72297141,166591147,29
Sikkim,2007,Burglary - Property,3. Burglary,17,83,529090,2796950,30
Tamil Nadu,2007,Burglary - Property,3. Burglary,2613,3717,79980333,132086451,31
Tripura,2007,Burglary - Property,3. Burglary,38,193,2386125,7024543,32
Uttar Pradesh,2007,Burglary - Property,3. Burglary,996,3869,39582906,119989378,33
Uttarakhand,2007,Burglary - Property,3. Burglary,146,508,5773177,23893784,34
West Bengal,2007,Burglary - Property,3. Burglary,87,399,1788155,24526576,35
Andaman & Nicobar Islands,2008,Burglary - Property,3. Burglary,35,78,1671141,2940686,1
Andhra Pradesh,2008,Burglary - Property,3. Burglary,3832,8219,105204037,320442778,2
Arunachal Pradesh,2008,Burglary - Property,3. Burglary,92,245,2926035,7156154,3
Assam,2008,Burglary - Property,3. Burglary,666,3147,17965749,66185132,4
Bihar,2008,Burglary - Property,3. Burglary,288,3414,3698886,43776678,5
Chandigarh,2008,Burglary - Property,3. Burglary,98,257,2380893,12238993,6
Chhattisgarh,2008,Burglary - Property,3. Burglary,1227,4112,17704020,80298616,7
Dadra & Nagar Haveli,2008,Burglary - Property,3. Burglary,19,49,1794785,6242259,8
Daman & Diu,2008,Burglary - Property,3. Burglary,9,45,1340800,22602575,9
Delhi,2008,Burglary - Property,3. Burglary,485,1926,5796997,109940832,10
Goa,2008,Burglary - Property,3. Burglary,84,291,3630962,19170722,11
Gujarat,2008,Burglary - Property,3. Burglary,1430,4932,59048428,339401791,12
Haryana,2008,Burglary - Property,3. Burglary,1579,4249,42033932,125403133,13
Himachal Pradesh,2008,Burglary - Property,3. Burglary,151,872,9661388,41861345,14
Jammu & Kashmir,2008,Burglary - Property,3. Burglary,272,1332,11130990,59730434,15
Jharkhand,2008,Burglary - Property,3. Burglary,188,1375,1795681,21482618,16
Karnataka,2008,Burglary - Property,3. Burglary,1766,6258,94543552,466383124,17
Kerala,2008,Burglary - Property,3. Burglary,1037,3533,25512674,229243049,18
Lakshadweep,2008,Burglary - Property,3. Burglary,1,3,90000,170000,19
Madhya Pradesh,2008,Burglary - Property,3. Burglary,3600,11072,41839086,211486284,20
Maharashtra,2008,Burglary - Property,3. Burglary,4383,15170,157981978,1032152787,21
Manipur,2008,Burglary - Property,3. Burglary,1,76,8000,5093017,22
Meghalaya,2008,Burglary - Property,3. Burglary,58,166,1669387,10597971,23
Mizoram,2008,Burglary - Property,3. Burglary,242,337,3117519,4783226,24
Nagaland,2008,Burglary - Property,3. Burglary,15,120,311600,67628375,25
Odisha,2008,Burglary - Property,3. Burglary,1232,3064,18652216,108586553,26
Puducherry,2008,Burglary - Property,3. Burglary,50,90,3810322,5486940,27
Punjab,2008,Burglary - Property,3. Burglary,1170,2621,66341932,176012188,28
Rajasthan,2008,Burglary - Property,3. Burglary,1591,4526,64937309,156179875,29
Sikkim,2008,Burglary - Property,3. Burglary,17,81,277651,2678956,30
Tamil Nadu,2008,Burglary - Property,3. Burglary,2460,3849,81315722,148377321,31
Tripura,2008,Burglary - Property,3. Burglary,71,218,411025,8867006,32
Uttar Pradesh,2008,Burglary - Property,3. Burglary,1182,4142,294258481,402284871,33
Uttarakhand,2008,Burglary - Property,3. Burglary,144,376,3439522,17604646,34
West Bengal,2008,Burglary - Property,3. Burglary,109,462,9090647,26328271,35
Andaman & Nicobar Islands,2009,Burglary - Property,3. Burglary,29,86,2269980,4793680,1
Andhra Pradesh,2009,Burglary - Property,3. Burglary,3416,7702,106540830,372576517,2
Arunachal Pradesh,2009,Burglary - Property,3. Burglary,89,201,156360345,159726496,3
Assam,2009,Burglary - Property,3. Burglary,445,3149,12984924,56531036,4
Bihar,2009,Burglary - Property,3. Burglary,329,3566,4157497,55027421,5
Chandigarh,2009,Burglary - Property,3. Burglary,48,241,1786400,15450340,6
Chhattisgarh,2009,Burglary - Property,3. Burglary,1278,3975,23436476,107702392,7
