Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,id
Tamil Nadu,2004,Other heads of Property,6. Other Property,53,76,5866565,8206080,31
Tripura,2004,Other heads of Property,6. Other Property,4,61,16700,535285,32
Uttar Pradesh,2004,Other heads of Property,6. Other Property,634,741,60031301,61221685,33
Uttarakhand,2004,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2004,Other heads of Property,6. Other Property,705,1495,17685307,46989588,35
Andaman & Nicobar Islands,2005,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2005,Other heads of Property,6. Other Property,104,192,15020857,23371050,2
Arunachal Pradesh,2005,Other heads of Property,6. Other Property,3,19,149500,1606867,3
Assam,2005,Other heads of Property,6. Other Property,226,693,4979023,9368936,4
Bihar,2005,Other heads of Property,6. Other Property,389,1319,5177140,20415292,5
Chandigarh,2005,Other heads of Property,6. Other Property,84,147,923200,1211990,6
Chhattisgarh,2005,Other heads of Property,6. Other Property,118,223,2473884,7118132,7
Dadra & Nagar Haveli,2005,Other heads of Property,6. Other Property,7,10,2903800,4234700,8
Daman & Diu,2005,Other heads of Property,6. Other Property,2,3,45000,45000,9
Delhi,2005,Other heads of Property,6. Other Property,2227,3514,8331858,737551655,10
Goa,2005,Other heads of Property,6. Other Property,5,38,185000,24694420,11
Gujarat,2005,Other heads of Property,6. Other Property,667,1214,64819027,779267815,12
Haryana,2005,Other heads of Property,6. Other Property,483,556,442433920,443888058,13
Himachal Pradesh,2005,Other heads of Property,6. Other Property,32,70,1014313,1515813,14
Jammu & Kashmir,2005,Other heads of Property,6. Other Property,0,0,0,0,15
Jharkhand,2005,Other heads of Property,6. Other Property,65,146,796738,3645428,16
Karnataka,2005,Other heads of Property,6. Other Property,121,347,4547720,922944183,17
Kerala,2005,Other heads of Property,6. Other Property,203,894,335580,84827700,18
Lakshadweep,2005,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2005,Other heads of Property,6. Other Property,242,646,3372675,14183206,20
Maharashtra,2005,Other heads of Property,6. Other Property,1492,4205,54852176,1942171368,21
Manipur,2005,Other heads of Property,6. Other Property,1,20,30000,12380292,22
Meghalaya,2005,Other heads of Property,6. Other Property,7,19,1888600,2048600,23
Mizoram,2005,Other heads of Property,6. Other Property,27,32,562615,797650,24
Nagaland,2005,Other heads of Property,6. Other Property,9,13,135535,1381361,25
Odisha,2005,Other heads of Property,6. Other Property,4,34,404301,3986000,26
Puducherry,2005,Other heads of Property,6. Other Property,1,2,15000,19500,27
Punjab,2005,Other heads of Property,6. Other Property,430,430,62324357,62324357,28
Rajasthan,2005,Other heads of Property,6. Other Property,303,678,8997411,14655640,29
Sikkim,2005,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2005,Other heads of Property,6. Other Property,55,74,3667741,8564917,31
Tripura,2005,Other heads of Property,6. Other Property,1,30,5000,466430,32
Uttar Pradesh,2005,Other heads of Property,6. Other Property,478,398,133239605,58229810,33
Uttarakhand,2005,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2005,Other heads of Property,6. Other Property,678,1420,25154150,130840452,35
Andaman & Nicobar Islands,2006,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2006,Other heads of Property,6. Other Property,121,196,5074077,8118944,2
Arunachal Pradesh,2006,Other heads of Property,6. Other Property,5,16,460300,2521560,3
Assam,2006,Other heads of Property,6. Other Property,253,528,8789919,12511377,4
Bihar,2006,Other heads of Property,6. Other Property,369,831,3705035,15871447,5
Chandigarh,2006,Other heads of Property,6. Other Property,73,131,506830,1658915,6
Chhattisgarh,2006,Other heads of Property,6. Other Property,119,190,8166953,29934621,7
Dadra & Nagar Haveli,2006,Other heads of Property,6. Other Property,1,10,1500,4004100,8
Daman & Diu,2006,Other heads of Property,6. Other Property,0,3,0,53000,9
Delhi,2006,Other heads of Property,6. Other Property,2197,3596,11007770,1090188152,10
Goa,2006,Other heads of Property,6. Other Property,2,37,210000,62634507,11
Gujarat,2006,Other heads of Property,6. Other Property,722,1193,11501866,318593513,12
Haryana,2006,Other heads of Property,6. Other Property,557,669,22351111,24550879,13
Himachal Pradesh,2006,Other heads of Property,6. Other Property,33,54,1124739,3772554,14
Jammu & Kashmir,2006,Other heads of Property,6. Other Property,0,0,0,0,15
Jharkhand,2006,Other heads of Property,6. Other Property,108,426,4030873,11524001,16
Karnataka,2006,Other heads of Property,6. Other Property,70,367,16481479,64316165,17
Kerala,2006,Other heads of Property,6. Other Property,72,606,7654935,124937068,18
Lakshadweep,2006,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2006,Other heads of Property,6. Other Property,427,859,36884131,346561205,20
Maharashtra,2006,Other heads of Property,6. Other Property,1775,4189,173366171,2545626471,21
Manipur,2006,Other heads of Property,6. Other Property,17,151,819105,10188437,22
Meghalaya,2006,Other heads of Property,6. Other Property,1,10,2000,535365,23
Mizoram,2006,Other heads of Property,6. Other Property,8,14,468916,1563534,24
Nagaland,2006,Other heads of Property,6. Other Property,3,6,7380,579750,25
Odisha,2006,Other heads of Property,6. Other Property,10,93,12100,2004759,26
Puducherry,2006,Other heads of Property,6. Other Property,1,2,4000,5000,27
Punjab,2006,Other heads of Property,6. Other Property,711,715,64220875,64632630,28
Rajasthan,2006,Other heads of Property,6. Other Property,261,442,14847930,16076190,29
Sikkim,2006,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2006,Other heads of Property,6. Other Property,135,160,3397030,5327720,31
Tripura,2006,Other heads of Property,6. Other Property,56,212,914744,5562719,32
Uttar Pradesh,2006,Other heads of Property,6. Other Property,363,364,460283457,67459510,33
Uttarakhand,2006,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2006,Other heads of Property,6. Other Property,744,1466,24807456,157963244,35
Andaman & Nicobar Islands,2007,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2007,Other heads of Property,6. Other Property,180,254,6778955,10106418,2
Arunachal Pradesh,2007,Other heads of Property,6. Other Property,4,11,337278,2685300,3
Assam,2007,Other heads of Property,6. Other Property,361,6004,6710027,19121023,4
Bihar,2007,Other heads of Property,6. Other Property,303,658,1736766,6726001,5
Chandigarh,2007,Other heads of Property,6. Other Property,84,193,1276650,2056850,6
Chhattisgarh,2007,Other heads of Property,6. Other Property,96,142,10164727,33859629,7
Dadra & Nagar Haveli,2007,Other heads of Property,6. Other Property,6,10,817100,9283740,8
Daman & Diu,2007,Other heads of Property,6. Other Property,2,6,2500000,14190170,9
Delhi,2007,Other heads of Property,6. Other Property,1103,3579,7430712,575442815,10
Goa,2007,Other heads of Property,6. Other Property,4,36,800000,17113459,11
Gujarat,2007,Other heads of Property,6. Other Property,621,999,97197058,260363423,12
Haryana,2007,Other heads of Property,6. Other Property,598,941,40616070,43645570,13
Himachal Pradesh,2007,Other heads of Property,6. Other Property,28,75,1924282,5003543,14
Jammu & Kashmir,2007,Other heads of Property,6. Other Property,144,418,16184960,24082304,15
Jharkhand,2007,Other heads of Property,6. Other Property,33,188,235289,2195421,16
Karnataka,2007,Other heads of Property,6. Other Property,120,606,20537339,98303525,17
Kerala,2007,Other heads of Property,6. Other Property,104,2665,8630620,614644393,18
Lakshadweep,2007,Other heads of Property,6. Other Property,0,4,0,606600,19
Madhya Pradesh,2007,Other heads of Property,6. Other Property,321,798,34272324,49994761,20
Maharashtra,2007,Other heads of Property,6. Other Property,1931,4578,219124280,3722992640,21
Manipur,2007,Other heads of Property,6. Other Property,0,336,0,86479455,22
Meghalaya,2007,Other heads of Property,6. Other Property,14,32,580180,3073649,23
Mizoram,2007,Other heads of Property,6. Other Property,63,102,261375,1913576,24
Nagaland,2007,Other heads of Property,6. Other Property,6,8,366020,378820,25
Odisha,2007,Other heads of Property,6. Other Property,90,1203,1227450,7112169,26
Puducherry,2007,Other heads of Property,6. Other Property,1,3,30000,63500,27
Punjab,2007,Other heads of Property,6. Other Property,953,938,104360606,87114741,28
Rajasthan,2007,Other heads of Property,6. Other Property,491,946,14702380,14906304,29
Sikkim,2007,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2007,Other heads of Property,6. Other Property,89,102,28857230,29492832,31
Tripura,2007,Other heads of Property,6. Other Property,3,20,3000,616290,32
Uttar Pradesh,2007,Other heads of Property,6. Other Property,543,556,43181964,32157305,33
Uttarakhand,2007,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2007,Other heads of Property,6. Other Property,501,1889,40566051,183697256,35
Andaman & Nicobar Islands,2008,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2008,Other heads of Property,6. Other Property,462,663,11240147,15869126,2
Arunachal Pradesh,2008,Other heads of Property,6. Other Property,28,45,968788,3065118,3
Assam,2008,Other heads of Property,6. Other Property,410,1177,2440807,34446017,4
Bihar,2008,Other heads of Property,6. Other Property,216,1074,2395329,6880918,5
Chandigarh,2008,Other heads of Property,6. Other Property,105,220,927350,1843350,6
Chhattisgarh,2008,Other heads of Property,6. Other Property,81,150,2609081,39082066,7
Dadra & Nagar Haveli,2008,Other heads of Property,6. Other Property,13,24,43139,8736993,8
Daman & Diu,2008,Other heads of Property,6. Other Property,1,3,2000,119945,9
Delhi,2008,Other heads of Property,6. Other Property,833,2870,10692781,2136265505,10
Goa,2008,Other heads of Property,6. Other Property,1,70,90000,24862812,11
Gujarat,2008,Other heads of Property,6. Other Property,466,887,30324325,592715720,12
Haryana,2008,Other heads of Property,6. Other Property,713,986,77331388,88346009,13
Himachal Pradesh,2008,Other heads of Property,6. Other Property,10,72,508928,6447364,14
Jammu & Kashmir,2008,Other heads of Property,6. Other Property,104,202,2221628,4994228,15
Jharkhand,2008,Other heads of Property,6. Other Property,11,156,163278,65180831,16
Karnataka,2008,Other heads of Property,6. Other Property,124,503,13801698,183239049,17
Kerala,2008,Other heads of Property,6. Other Property,71,2329,12278375,949465280,18
Lakshadweep,2008,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2008,Other heads of Property,6. Other Property,261,569,11981693,30516184,20
Maharashtra,2008,Other heads of Property,6. Other Property,1865,5195,169153533,6869549940,21
Manipur,2008,Other heads of Property,6. Other Property,2,356,205000,53132017,22
Meghalaya,2008,Other heads of Property,6. Other Property,56,275,1249922,6725357,23
Mizoram,2008,Other heads of Property,6. Other Property,31,47,212079,248375,24
Nagaland,2008,Other heads of Property,6. Other Property,3,5,157000,290100,25
Odisha,2008,Other heads of Property,6. Other Property,37,90,328106,30397944,26
Puducherry,2008,Other heads of Property,6. Other Property,2,2,648000,648000,27
Punjab,2008,Other heads of Property,6. Other Property,1206,1110,131451059,123509958,28
Rajasthan,2008,Other heads of Property,6. Other Property,85,182,25080921,84676988,29
Sikkim,2008,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2008,Other heads of Property,6. Other Property,98,105,7620130,9032620,31
Tripura,2008,Other heads of Property,6. Other Property,6,35,14500,1236670,32
Uttar Pradesh,2008,Other heads of Property,6. Other Property,251,264,28613191,30974385,33
Uttarakhand,2008,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2008,Other heads of Property,6. Other Property,762,2363,34482235,248753009,35
Andaman & Nicobar Islands,2009,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2009,Other heads of Property,6. Other Property,314,435,10791957,18529965,2
Arunachal Pradesh,2009,Other heads of Property,6. Other Property,5,20,24090,3686341,3
Assam,2009,Other heads of Property,6. Other Property,251,763,5946862,6131307,4
Bihar,2009,Other heads of Property,6. Other Property,316,1068,1211610,6238416,5
Chandigarh,2009,Other heads of Property,6. Other Property,88,234,1761715,3171735,6
Chhattisgarh,2009,Other heads of Property,6. Other Property,114,155,3455856,34430697,7
Dadra & Nagar Haveli,2009,Other heads of Property,6. Other Property,13,20,675438,22730924,8
Daman & Diu,2009,Other heads of Property,6. Other Property,0,0,0,0,9
Delhi,2009,Other heads of Property,6. Other Property,988,2345,22706337,5259938376,10
Goa,2009,Other heads of Property,6. Other Property,6,40,493900,59503271,11
Gujarat,2009,Other heads of Property,6. Other Property,399,806,12177589,426017436,12
Haryana,2009,Other heads of Property,6. Other Property,660,1013,36929964,54588481,13
Himachal Pradesh,2009,Other heads of Property,6. Other Property,18,92,3134411,169516316,14
Jammu & Kashmir,2009,Other heads of Property,6. Other Property,73,176,5744842,11205249,15
Jharkhand,2009,Other heads of Property,6. Other Property,54,247,3994020,11102495,16
Karnataka,2009,Other heads of Property,6. Other Property,370,883,27564698,120128314,17
Kerala,2009,Other heads of Property,6. Other Property,264,2365,23524130,1932069078,18
Lakshadweep,2009,Other heads of Property,6. Other Property,8,44,200000,2000000,19
Madhya Pradesh,2009,Other heads of Property,6. Other Property,345,768,12779636,40897249,20
Maharashtra,2009,Other heads of Property,6. Other Property,2112,5599,197492637,6529451820,21
Manipur,2009,Other heads of Property,6. Other Property,15,213,46864870,87124859,22
Meghalaya,2009,Other heads of Property,6. Other Property,10,79,54020,2657764,23
Mizoram,2009,Other heads of Property,6. Other Property,27,35,385847,2974949,24
Nagaland,2009,Other heads of Property,6. Other Property,11,235,2807050,10853546,25
Odisha,2009,Other heads of Property,6. Other Property,17,155,1466800,2005631179,26
Puducherry,2009,Other heads of Property,6. Other Property,2,2,55000,55000,27
Punjab,2009,Other heads of Property,6. Other Property,1253,1176,225129746,158140937,28
Rajasthan,2009,Other heads of Property,6. Other Property,93,163,19567565,20878815,29
Sikkim,2009,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2009,Other heads of Property,6. Other Property,96,111,22522840,35680580,31
Tripura,2009,Other heads of Property,6. Other Property,4,45,80000,184900,32
Uttar Pradesh,2009,Other heads of Property,6. Other Property,195,222,25674264,32643216,33
Uttarakhand,2009,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2009,Other heads of Property,6. Other Property,1048,2263,55555560,233499642,35
Andaman & Nicobar Islands,2010,Other heads of Property,6. Other Property,0,0,0,0,1
Andhra Pradesh,2010,Other heads of Property,6. Other Property,96,840,7695160,19092260,2
Arunachal Pradesh,2010,Other heads of Property,6. Other Property,6,32,995920,22043117,3
Assam,2010,Other heads of Property,6. Other Property,105,474,4982729,15131265,4
Bihar,2010,Other heads of Property,6. Other Property,136,493,792981,7947645,5
Chandigarh,2010,Other heads of Property,6. Other Property,109,243,2512830,4040770,6
Chhattisgarh,2010,Other heads of Property,6. Other Property,101,183,9899802,39538454,7
Dadra & Nagar Haveli,2010,Other heads of Property,6. Other Property,9,18,726371,15700213,8
Daman & Diu,2010,Other heads of Property,6. Other Property,0,1,0,0,9
Delhi,2010,Other heads of Property,6. Other Property,1015,2624,41903655,2206442274,10
Goa,2010,Other heads of Property,6. Other Property,7,39,209800,42276054,11
Gujarat,2010,Other heads of Property,6. Other Property,344,720,36179589,1419805631,12
Haryana,2010,Other heads of Property,6. Other Property,725,1214,39807090,50782590,13
Himachal Pradesh,2010,Other heads of Property,6. Other Property,14,45,253281,6821835,14
Jammu & Kashmir,2010,Other heads of Property,6. Other Property,6,6,34400,48400,15
Jharkhand,2010,Other heads of Property,6. Other Property,96,428,5478349,9059363,16
Karnataka,2010,Other heads of Property,6. Other Property,380,964,35103094,241760506,17
Kerala,2010,Other heads of Property,6. Other Property,435,2590,16092319,1736686318,18
Lakshadweep,2010,Other heads of Property,6. Other Property,0,0,0,0,19
Madhya Pradesh,2010,Other heads of Property,6. Other Property,283,539,13637112,36911088,20
Maharashtra,2010,Other heads of Property,6. Other Property,2788,6319,639564691,4924287590,21
Manipur,2010,Other heads of Property,6. Other Property,4,156,520900,36640648,22
Meghalaya,2010,Other heads of Property,6. Other Property,8,27,2088045,10211350,23
Mizoram,2010,Other heads of Property,6. Other Property,69,89,3590368,4130193,24
Nagaland,2010,Other heads of Property,6. Other Property,25,272,3617770,127477897,25
Odisha,2010,Other heads of Property,6. Other Property,71,188,1739150,37664304,26
Puducherry,2010,Other heads of Property,6. Other Property,0,0,0,0,27
Punjab,2010,Other heads of Property,6. Other Property,1353,1273,275843347,170875500,28
Rajasthan,2010,Other heads of Property,6. Other Property,1462,1568,36603145,37158031,29
Sikkim,2010,Other heads of Property,6. Other Property,0,0,0,0,30
Tamil Nadu,2010,Other heads of Property,6. Other Property,139,153,31084802,32797329,31
Tripura,2010,Other heads of Property,6. Other Property,9,129,75200,3085108,32
Uttar Pradesh,2010,Other heads of Property,6. Other Property,462,467,41235704,52327343,33
Uttarakhand,2010,Other heads of Property,6. Other Property,0,0,0,0,34
West Bengal,2010,Other heads of Property,6. Other Property,457,1900,331606182,1092202860,35
Andaman & Nicobar Islands,2001,Robbery - Property,2. Robbery,2,4,2000,40000,1
Andhra Pradesh,2001,Robbery - Property,2. Robbery,293,622,7149310,22872277,2
Arunachal Pradesh,2001,Robbery - Property,2. Robbery,30,84,1436973,2535439,3
Assam,2001,Robbery - Property,2. Robbery,146,687,3773502,16336928,4
Bihar,2001,Robbery - Property,2. Robbery,441,2201,12827627,51594151,5
Chandigarh,2001,Robbery - Property,2. Robbery,15,22,539910,727030,6
Chhattisgarh,2001,Robbery - Property,2. Robbery,183,338,1697760,4322038,7
Dadra & Nagar Haveli,2001,Robbery - Property,2. Robbery,2,2,682575,682575,8
Daman & Diu,2001,Robbery - Property,2. Robbery,0,0,0,0,9
Delhi,2001,Robbery - Property,2. Robbery,262,624,5933935,66339228,10
Goa,2001,Robbery - Property,2. Robbery,11,24,640780,2045375,11
Gujarat,2001,Robbery - Property,2. Robbery,412,953,14124938,40522333,12
Haryana,2001,Robbery - Property,2. Robbery,276,391,26308703,38952335,13
Himachal Pradesh,2001,Robbery - Property,2. Robbery,13,26,1179562,1864105,14
Jammu & Kashmir,2001,Robbery - Property,2. Robbery,40,161,5111430,10121303,15
Jharkhand,2001,Robbery - Property,2. Robbery,109,469,2759884,12858130,16
Karnataka,2001,Robbery - Property,2. Robbery,382,847,11218599,30204787,17
Kerala,2001,Robbery - Property,2. Robbery,209,472,7242012,15196285,18
Lakshadweep,2001,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2001,Robbery - Property,2. Robbery,1003,1764,25960868,49184881,20
Maharashtra,2001,Robbery - Property,2. Robbery,1200,2175,43271048,153330905,21
Manipur,2001,Robbery - Property,2. Robbery,3,19,700000,2390134,22
Meghalaya,2001,Robbery - Property,2. Robbery,20,125,434700,2758872,23
Mizoram,2001,Robbery - Property,2. Robbery,5,11,588220,795120,24
Nagaland,2001,Robbery - Property,2. Robbery,17,71,1700680,8088871,25
Odisha,2001,Robbery - Property,2. Robbery,494,950,7436388,25937159,26
Puducherry,2001,Robbery - Property,2. Robbery,3,4,304750,346750,27
Punjab,2001,Robbery - Property,2. Robbery,80,131,2312303,11610516,28
Rajasthan,2001,Robbery - Property,2. Robbery,457,752,29511059,40020195,29
Sikkim,2001,Robbery - Property,2. Robbery,1,2,600,3600,30
Tamil Nadu,2001,Robbery - Property,2. Robbery,456,670,13196427,30834377,31
Tripura,2001,Robbery - Property,2. Robbery,6,63,13650,697030,32
Uttar Pradesh,2001,Robbery - Property,2. Robbery,1216,3090,72522868,180684922,33
Uttarakhand,2001,Robbery - Property,2. Robbery,73,191,2195628,6580931,34
West Bengal,2001,Robbery - Property,2. Robbery,199,660,8666704,26486786,35
Andaman & Nicobar Islands,2002,Robbery - Property,2. Robbery,6,7,39350,49300,1
Andhra Pradesh,2002,Robbery - Property,2. Robbery,294,635,7182440,19471642,2
Arunachal Pradesh,2002,Robbery - Property,2. Robbery,21,96,761480,2330807,3
Assam,2002,Robbery - Property,2. Robbery,168,607,3675228,13045262,4
Bihar,2002,Robbery - Property,2. Robbery,422,2287,12998075,54116436,5
Chandigarh,2002,Robbery - Property,2. Robbery,18,26,251775,550841,6
Chhattisgarh,2002,Robbery - Property,2. Robbery,182,326,2813675,8264774,7
Dadra & Nagar Haveli,2002,Robbery - Property,2. Robbery,0,1,0,282000,8
Daman & Diu,2002,Robbery - Property,2. Robbery,0,1,0,16000,9
Delhi,2002,Robbery - Property,2. Robbery,378,502,5050032,54816824,10
Goa,2002,Robbery - Property,2. Robbery,11,22,170410,410810,11
Gujarat,2002,Robbery - Property,2. Robbery,454,1069,12152390,50444547,12
Haryana,2002,Robbery - Property,2. Robbery,249,330,33922016,50342798,13
Himachal Pradesh,2002,Robbery - Property,2. Robbery,6,15,447385,1071889,14
Jammu & Kashmir,2002,Robbery - Property,2. Robbery,35,163,2296950,7267872,15
Jharkhand,2002,Robbery - Property,2. Robbery,181,780,3638064,32622977,16
Karnataka,2002,Robbery - Property,2. Robbery,481,972,24363079,41269439,17
Kerala,2002,Robbery - Property,2. Robbery,243,590,6487034,22038343,18
Lakshadweep,2002,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2002,Robbery - Property,2. Robbery,1027,1829,34598627,57782600,20
Maharashtra,2002,Robbery - Property,2. Robbery,1076,2091,45786648,149006609,21
Manipur,2002,Robbery - Property,2. Robbery,0,6,0,29590,22
Meghalaya,2002,Robbery - Property,2. Robbery,20,109,1197902,3251058,23
Mizoram,2002,Robbery - Property,2. Robbery,4,7,10300,60300,24
Nagaland,2002,Robbery - Property,2. Robbery,31,108,695100,8262108,25
Odisha,2002,Robbery - Property,2. Robbery,507,934,12824154,27674656,26
Puducherry,2002,Robbery - Property,2. Robbery,4,6,419000,422500,27
Punjab,2002,Robbery - Property,2. Robbery,85,110,8414860,22285131,28
Rajasthan,2002,Robbery - Property,2. Robbery,385,637,42233688,52670735,29
Sikkim,2002,Robbery - Property,2. Robbery,3,4,221000,340000,30
Tamil Nadu,2002,Robbery - Property,2. Robbery,480,651,16282971,27693907,31
Tripura,2002,Robbery - Property,2. Robbery,11,56,46994,563926,32
Uttar Pradesh,2002,Robbery - Property,2. Robbery,1003,2232,78069816,129946060,33
Uttarakhand,2002,Robbery - Property,2. Robbery,71,161,1579170,6573445,34
West Bengal,2002,Robbery - Property,2. Robbery,195,544,8759272,26993643,35
Andaman & Nicobar Islands,2003,Robbery - Property,2. Robbery,6,7,162350,345920,1
Andhra Pradesh,2003,Robbery - Property,2. Robbery,326,640,7626468,22343329,2
Arunachal Pradesh,2003,Robbery - Property,2. Robbery,13,60,229759,1282310,3
Assam,2003,Robbery - Property,2. Robbery,117,523,4226116,16001672,4
Bihar,2003,Robbery - Property,2. Robbery,339,2463,9698161,58856998,5
Chandigarh,2003,Robbery - Property,2. Robbery,8,12,632340,750340,6
Chhattisgarh,2003,Robbery - Property,2. Robbery,174,331,3282493,8703914,7
Dadra & Nagar Haveli,2003,Robbery - Property,2. Robbery,6,6,334000,337200,8
Daman & Diu,2003,Robbery - Property,2. Robbery,0,1,0,0,9
Delhi,2003,Robbery - Property,2. Robbery,350,441,4116700,40780214,10
Goa,2003,Robbery - Property,2. Robbery,11,21,79510,871350,11
Gujarat,2003,Robbery - Property,2. Robbery,508,1241,16642701,48163574,12
Haryana,2003,Robbery - Property,2. Robbery,216,281,21237086,35450325,13
Himachal Pradesh,2003,Robbery - Property,2. Robbery,8,17,853710,1817690,14
Jammu & Kashmir,2003,Robbery - Property,2. Robbery,43,154,4026030,10230764,15
Jharkhand,2003,Robbery - Property,2. Robbery,214,808,4350709,17199569,16
Karnataka,2003,Robbery - Property,2. Robbery,426,861,11495351,25799254,17
Kerala,2003,Robbery - Property,2. Robbery,263,574,8815820,15669137,18
Lakshadweep,2003,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2003,Robbery - Property,2. Robbery,899,1577,45683930,70386234,20
Maharashtra,2003,Robbery - Property,2. Robbery,1072,2054,35878422,135808903,21
Manipur,2003,Robbery - Property,2. Robbery,1,6,2600,1253600,22
Meghalaya,2003,Robbery - Property,2. Robbery,9,133,232500,962084,23
Mizoram,2003,Robbery - Property,2. Robbery,14,21,111087,142740,24
Nagaland,2003,Robbery - Property,2. Robbery,14,78,322326,917826,25
Odisha,2003,Robbery - Property,2. Robbery,518,864,11007786,20192140,26
Puducherry,2003,Robbery - Property,2. Robbery,8,11,296550,376950,27
Punjab,2003,Robbery - Property,2. Robbery,64,108,4831944,15369559,28
Rajasthan,2003,Robbery - Property,2. Robbery,342,579,26645352,64963801,29
Sikkim,2003,Robbery - Property,2. Robbery,1,3,65000,1857000,30
Tamil Nadu,2003,Robbery - Property,2. Robbery,406,514,20138103,31734288,31
Tripura,2003,Robbery - Property,2. Robbery,13,69,64820,920140,32
Uttar Pradesh,2003,Robbery - Property,2. Robbery,768,1526,57737540,116065877,33
Uttarakhand,2003,Robbery - Property,2. Robbery,80,140,3444896,7871942,34
West Bengal,2003,Robbery - Property,2. Robbery,237,598,8650756,25410123,35
Andaman & Nicobar Islands,2004,Robbery - Property,2. Robbery,2,3,62000,62000,1
Andhra Pradesh,2004,Robbery - Property,2. Robbery,275,563,11176441,22674264,2
Arunachal Pradesh,2004,Robbery - Property,2. Robbery,12,45,355334,953041,3
Assam,2004,Robbery - Property,2. Robbery,113,505,3026409,12619548,4
Bihar,2004,Robbery - Property,2. Robbery,417,2986,21554308,99789799,5
Chandigarh,2004,Robbery - Property,2. Robbery,6,6,213500,213500,6
Chhattisgarh,2004,Robbery - Property,2. Robbery,211,363,2743037,7373791,7
Dadra & Nagar Haveli,2004,Robbery - Property,2. Robbery,1,2,300000,423000,8
Daman & Diu,2004,Robbery - Property,2. Robbery,1,1,100000,100000,9
Delhi,2004,Robbery - Property,2. Robbery,394,461,6477132,447757606,10
Goa,2004,Robbery - Property,2. Robbery,8,17,428500,1095580,11
Gujarat,2004,Robbery - Property,2. Robbery,545,1113,29490474,101969124,12
Haryana,2004,Robbery - Property,2. Robbery,183,244,26742282,38088024,13
Himachal Pradesh,2004,Robbery - Property,2. Robbery,11,20,708452,1867003,14
Jammu & Kashmir,2004,Robbery - Property,2. Robbery,45,129,4988990,8646245,15
Jharkhand,2004,Robbery - Property,2. Robbery,181,780,3638064,32622977,16
Karnataka,2004,Robbery - Property,2. Robbery,444,1024,22060214,50277676,17
Kerala,2004,Robbery - Property,2. Robbery,287,606,5816571,18106829,18
Lakshadweep,2004,Robbery - Property,2. Robbery,0,0,0,0,19
Madhya Pradesh,2004,Robbery - Property,2. Robbery,957,1526,38859520,71765279,20
Maharashtra,2004,Robbery - Property,2. Robbery,1096,2162,38418904,167819863,21
Manipur,2004,Robbery - Property,2. Robbery,0,3,0,197000,22
Meghalaya,2004,Robbery - Property,2. Robbery,17,73,314120,873080,23
Mizoram,2004,Robbery - Property,2. Robbery,4,6,30500,32700,24
Nagaland,2004,Robbery - Property,2. Robbery,3,27,6200,2707263,25
Odisha,2004,Robbery - Property,2. Robbery,502,952,12041389,24510172,26
Puducherry,2004,Robbery - Property,2. Robbery,1,1,4600,4600,27
Punjab,2004,Robbery - Property,2. Robbery,51,78,7235710,18465131,28
Rajasthan,2004,Robbery - Property,2. Robbery,341,611,29595467,39917624,29
Sikkim,2004,Robbery - Property,2. Robbery,0,5,0,133000,30
Tamil Nadu,2004,Robbery - Property,2. Robbery,367,464,14462038,20762642,31
Tripura,2004,Robbery - Property,2. Robbery,12,46,193175,818007,32
Uttar Pradesh,2004,Robbery - Property,2. Robbery,992,2022,106136689,186663110,33
Uttarakhand,2004,Robbery - Property,2. Robbery,61,134,2925745,6411727,34
West Bengal,2004,Robbery - Property,2. Robbery,205,535,8811553,24286195,35
Andaman & Nicobar Islands,2005,Robbery - Property,2. Robbery,4,4,44840,44840,1
Andhra Pradesh,2005,Robbery - Property,2. Robbery,358,784,11824646,29807447,2
Arunachal Pradesh,2005,Robbery - Property,2. Robbery,27,77,545199,1668677,3
Assam,2005,Robbery - Property,2. Robbery,114,451,2836984,13050733,4
